SeqId,NussinovFolderFolding Tns,
seq_100_69,2381100,
seq_100_70,2330500,
seq_100_71,2148700,
seq_100_72,2355200,
seq_100_73,2298700,
seq_100_74,2515300,
seq_100_75,2350100,
seq_100_76,2259700,
seq_100_77,2374000,
seq_100_78,1747600,
seq_100_79,1511300,
seq_100_80,1758900,
seq_100_81,1868900,
seq_100_82,1702300,
seq_100_83,1756400,
seq_100_84,1414100,
seq_100_85,1429500,
seq_100_86,1880100,
seq_100_87,1618300,
seq_100_88,1426200,
seq_100_89,1398600,
seq_100_90,2565800,
seq_100_91,1502500,
seq_100_92,1424200,
seq_100_93,1477400,
seq_100_94,1426000,
seq_100_95,1565200,
seq_100_96,1958700,
seq_100_97,1401200,
seq_100_98,1667000,
seq_100_99,2940100,
seq_110_0,2935900,
seq_110_1,3023800,
seq_110_2,3031000,
seq_110_3,3175100,
seq_110_4,1896700,
seq_110_5,2042700,
seq_110_6,2034200,
seq_110_7,1869200,
seq_110_8,1805800,
seq_110_9,6152400,
seq_110_10,1975000,
seq_110_11,3227500,
seq_110_12,3117300,
seq_110_13,2737000,
seq_110_14,2219800,
seq_110_15,3938200,
seq_110_16,2883100,
seq_110_17,2994500,
seq_110_18,2871700,
seq_110_19,3093900,
seq_110_20,3157900,
seq_110_21,2920900,
seq_110_22,3022000,
seq_110_23,2996400,
seq_110_24,3653300,
seq_110_25,4729200,
seq_110_26,3115500,
seq_110_27,2756000,
seq_110_28,3650800,
seq_110_29,2481000,
seq_110_30,1941500,
seq_110_31,2620600,
seq_110_32,2735600,
seq_110_33,3466700,
seq_110_34,2521100,
seq_110_35,2351500,
seq_110_36,1802300,
seq_110_37,2359500,
seq_110_38,3094500,
seq_110_39,3211100,
seq_110_40,3100500,
seq_110_41,2942600,
seq_110_42,3055800,
seq_110_43,3048100,
seq_110_44,3275600,
seq_110_45,2187600,
seq_110_46,2179900,
seq_110_47,1924900,
seq_110_48,1861100,
seq_110_49,1835700,
seq_110_50,2525800,
seq_110_51,1989600,
seq_110_52,2601200,
seq_110_53,1934600,
seq_110_54,1789500,
seq_110_55,1869900,
seq_110_56,1814400,
seq_110_57,2006200,
seq_110_58,3512600,
seq_110_59,3733900,
seq_110_60,2962500,
seq_110_61,3068500,
seq_110_62,2655800,
seq_110_63,2051200,
seq_110_64,1861300,
seq_110_65,2033700,
seq_110_66,1931000,
seq_110_67,1999700,
seq_110_68,1857100,
seq_110_69,2772200,
seq_110_70,3020700,
seq_110_71,3131400,
seq_110_72,3138600,
seq_110_73,3134400,
seq_110_74,3507300,
seq_110_75,3297200,
seq_110_76,3087100,
seq_110_77,3140600,
seq_110_78,3405000,
seq_110_79,3172400,
seq_110_80,3339500,
seq_110_81,1996800,
seq_110_82,1972800,
seq_110_83,4154100,
seq_110_84,1991700,
seq_110_85,2763500,
seq_110_86,2124400,
seq_110_87,1958900,
seq_110_88,1930500,
seq_110_89,1871900,
seq_110_90,1799100,
seq_110_91,3158400,
seq_110_92,3024600,
seq_110_93,3046600,
seq_110_94,3128400,
seq_110_95,3043300,
seq_110_96,3049900,
seq_110_97,2971100,
seq_110_98,2963600,
seq_110_99,3029600,
seq_120_0,3903000,
seq_120_1,3910200,
seq_120_2,3983300,
seq_120_3,2551600,
seq_120_4,2451800,
seq_120_5,2617600,
seq_120_6,2419000,
seq_120_7,2349900,
seq_120_8,2462400,
seq_120_9,2266400,
seq_120_10,3346800,
seq_120_11,2460200,
seq_120_12,2396800,
seq_120_13,2439500,
seq_120_14,2388600,
seq_120_15,2298900,
seq_120_16,3473400,
seq_120_17,3299500,
seq_120_18,2375800,
seq_120_19,2304300,
seq_120_20,2364800,
seq_120_21,2429800,
